Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Air Force One (1997),6.5,Nominated for 2 Oscars,7 wins & 13 nominations total,Wolfgang Petersen,"$315,156,409",R,469,123,189K
JCVD (2008),7.1,Awards,2 nominations,Mabrouk El Mechri,"$2,342,211",R,149,177,39K
Boyhood (2014),7.9,Won 1 Oscar,173 wins & 218 nominations total,Richard Linklater,"$48,137,666",R,1K,590,346K
Fight Club (1999),8.8,Nominated for 1 Oscar,11 wins & 38 nominations total,David Fincher,"$101,209,702",R,4.1K,384,2M
Tag (2018),6.5,Awards,3 nominations,Jeff Tomsic,"$78,130,625",R,521,198,126K
Better Watch Out (2016),6.5,Awards,8 wins & 2 nominations,Chris Peckover,"$176,288",R,349,197,35K
The Addams Family (1991),6.9,Nominated for 1 Oscar,5 wins & 22 nominations total,Barry Sonnenfeld,"Nov 24, 1991",PG-13,192,79,147K
The Great Gatsby (2013),7.2,Won 2 Oscars,50 wins & 86 nominations total,Baz Luhrmann,"$353,642,274",PG-13,1K,373,509K
Akira (1988),8.0,Awards,1 win,Katsuhiro Ôtomo,"$2,562,351",R,579,140,176K
Life of Pi (2012),7.9,Won 4 Oscars,81 wins & 135 nominations total,Ang Lee,"$609,016,565",PG,977,575,605K
Sen to Chihiro no kamikakushi (2001),8.6,Won 1 Oscar,58 wins & 31 nominations total,Hayao Miyazaki,"$355,705,804",PG,1.5K,210,703K
El Camino: A Breaking Bad Movie (2019),7.3,Nominated for 4 Primetime Emmys,4 wins & 24 nominations total,Vince Gilligan,Greenbriar,TV-MA,1.8K,153,210K
The Hitcher (1986),7.2,Awards,3 nominations,Robert Harmon,"$5,844,868",R,290,117,46K
Aliens (1986),8.3,Won 2 Oscars,20 wins & 23 nominations total,James Cameron,"$131,060,248",R,1.4K,218,685K
Iron Man (2008),7.9,Nominated for 2 Oscars,21 wins & 73 nominations total,Jon Favreau,"$585,796,247",PG-13,1.4K,551,994K
Chicken Run (2000),7.0,Awards,23 wins & 26 nominations total,Peter Lord,"$224,834,564",G,413,153,185K
Payback (1999),7.1,Awards,2 wins & 2 nominations,Brian Helgeland,"$161,626,121",R,435,119,136K
Pay It Forward (2000),7.2,Awards,1 win & 4 nominations,Mimi Leder,"$55,707,411",PG-13,681,133,117K
The Incredibles (2004),8.0,Won 2 Oscars,67 wins & 56 nominations total,Brad Bird,CinemaScope,PG,993,245,687K
Shaft (2000),6.0,Awards,1 win & 13 nominations,John Singleton,"$107,626,125",R,313,133,76K
Easy Rider (1969),7.3,Nominated for 2 Oscars,8 wins & 14 nominations total,Dennis Hopper,"$123,276",R,459,130,106K
Harry Potter and the Sorcerer's Stone (2001),7.6,Nominated for 3 Oscars,17 wins & 68 nominations total,Chris Columbus,"$1,012,484,430",PG,1.8K,278,712K
Brokeback Mountain (2005),7.7,Won 3 Oscars,141 wins & 132 nominations total,Ang Lee,"$178,062,759",R,2.4K,238,342K
True Grit (1969),7.4,Won 1 Oscar,6 wins & 7 nominations total,Henry Hathaway,"$276,418",G,202,87,46K
The Others (2001),7.6,Awards,29 wins & 55 nominations total,Alejandro Amenábar,"$209,947,037",PG-13,1.2K,167,353K
Pain & Gain (2013),6.4,Awards,4 nominations,Michael Bay,"$87,305,549",R,352,351,210K
Tangled (2010),7.7,Nominated for 1 Oscar,10 wins & 41 nominations total,Nathan Greno,"$592,462,816",PG,534,346,427K
Misery (1990),7.8,Won 1 Oscar,5 wins & 10 nominations total,Rob Reiner,"$61,277,271",R,454,181,198K
Mad Max (1979),6.9,Awards,5 wins & 8 nominations,George Miller,"$8,773,197",R,409,258,200K
The Lord of the Rings: The Fellowship of the Ring (2001),8.8,Won 4 Oscars,120 wins & 126 nominations total,Peter Jackson,"$897,690,072",PG-13,5.5K,201,1.7M
Point Break (1991),7.3,Awards,1 win & 2 nominations,Kathryn Bigelow,"$83,531,958",R,412,127,171K
John Wick (2014),7.4,Awards,5 wins & 10 nominations,Chad Stahelski,"$86,081,711",R,1.3K,463,585K
The Princess Bride (1987),8.1,Nominated for 1 Oscar,7 wins & 10 nominations total,Rob Reiner,"$30,902,442",PG,925,227,412K
Looper (2012),7.4,Awards,18 wins & 47 nominations,Rian Johnson,"$176,506,819",R,815,630,554K
Cars 2 (2011),6.1,Awards,1 win & 19 nominations,John Lasseter,"$559,852,396",G,393,321,174K
Witness for the Prosecution (1957),8.4,Nominated for 6 Oscars,4 wins & 16 nominations total,Billy Wilder,"$7,693",Approved,304,108,118K
The Birds (1963),7.7,Nominated for 1 Oscar,5 wins & 7 nominations total,Alfred Hitchcock,"$53,647",PG-13,599,182,181K
Hauru no ugoku shiro (2004),8.2,Nominated for 1 Oscar,14 wins & 20 nominations total,Hayao Miyazaki,"$236,214,446",PG,516,254,363K
Black Christmas (1974),7.2,Awards,3 wins & 2 nominations,Bob Clark,"$620,000 (estimated)",R,443,200,38K
Ghostbusters (1984),7.8,Nominated for 2 Oscars,7 wins & 8 nominations total,Ivan Reitman,2.39 : 1,PG,641,277,384K
The Dark Knight (2008),9.0,Won 2 Oscars,159 wins & 163 nominations total,Christopher Nolan,"$1,005,973,645",PG-13,7.7K,433,2.4M
Once Upon a Time in... Hollywood (2019),7.6,Won 2 Oscars,141 wins & 376 nominations total,Quentin Tarantino,"$374,565,754",R,5.6K,646,653K
Wonder Woman 1984 (2020),5.4,Awards,10 wins & 38 nominations,Patty Jenkins,"$166,534,027",PG-13,7.3K,402,239K
Shao Lin da peng da shi (1980),7.0,Awards,10 wins & 38 nominations,Patty Jenkins,Return of the Master Killer,PG-13,7.3K,402,239K
Cast Away (2000),7.8,Nominated for 2 Oscars,15 wins & 38 nominations total,Robert Zemeckis,"$429,632,142",PG-13,1.2K,108,559K
The Matrix (1999),8.7,Won 4 Oscars,42 wins & 51 nominations total,Lana Wachowski,"$466,364,845",R,4.6K,228,1.8M
Tell Them Willie Boy Is Here (1969),6.3,Awards,3 wins & 1 nomination total,Abraham Polonsky,"$5,949",M,36,30,2.9K
Coraline (2009),7.7,Nominated for 1 Oscar,8 wins & 46 nominations total,Henry Selick,"$124,596,837",PG,454,343,212K
Rare Exports (2010),6.7,Awards,12 wins & 2 nominations,Jalmari Helander,"$4,087,363",R,118,164,28K
The Thin Red Line (1998),7.6,Nominated for 7 Oscars,21 wins & 47 nominations total,Terrence Malick,"$98,126,565",R,1.5K,183,182K
Con Air (1997),6.9,Nominated for 2 Oscars,7 wins & 11 nominations total,Simon West,"$224,012,234",R,436,129,288K
The Expendables (2010),6.5,Awards,3 wins & 5 nominations,Sylvester Stallone,"$274,470,394",R,798,448,336K
Venom (2018),6.7,Awards,3 wins & 9 nominations,Ruben Fleischer,"$856,085,151",PG-13,3.9K,429,433K
Tomb Raider (2018),6.3,Awards,8 nominations,Roar Uthaug,"$274,650,803",PG-13,1.3K,417,205K
Platoon (1986),8.1,Won 4 Oscars,24 wins & 15 nominations total,Oliver Stone,"$138,545,632",R,648,144,398K
The Great Escape (1963),8.2,Nominated for 1 Oscar,3 wins & 11 nominations total,John Sturges,"$228,178",Approved,397,119,235K
"Definitely, Maybe (2008)",7.1,Awards,1 win & 1 nomination,Adam Brooks,"$55,990,299",PG-13,218,162,162K
28 Days Later... (2002),7.6,Awards,10 wins & 32 nominations,Danny Boyle,1.33 : 1,R,1.5K,147,396K
The Wizard of Oz (1939),8.0,Won 2 Oscars,13 wins & 16 nominations total,Victor Fleming,"$25,407,411",G,765,157,382K
Shaun of the Dead (2004),7.9,Awards,13 wins & 20 nominations total,Edgar Wright,"$30,097,092",R,1K,278,536K
Green Room (2015),7.0,Awards,8 wins & 25 nominations,Jeremy Saulnier,"$3,769,214",R,372,429,116K
Don't Breathe (2016),7.1,Awards,7 wins & 21 nominations,Fede Alvarez,"$157,761,002",R,825,424,256K
Clash of the Titans (2010),5.8,Awards,4 wins & 14 nominations,Louis Leterrier,"$493,214,993",PG-13,705,353,277K
Hook (1991),6.8,Nominated for 5 Oscars,7 wins & 22 nominations total,Steven Spielberg,"$300,854,823",PG,457,96,245K
Dawn of the Dead (2004),7.3,Awards,1 win & 17 nominations,Zack Snyder,"$102,278,712",R,1.1K,301,248K
Iron Man 2 (2010),7.0,Nominated for 1 Oscar,7 wins & 44 nominations total,Jon Favreau,"$623,933,331",PG-13,967,505,767K
Vice (2018),7.2,Won 1 Oscar,35 wins & 139 nominations total,Adam McKay,"$76,073,488",R,769,340,135K
Du rififi chez les hommes (1955),8.1,Awards,6 wins & 1 nomination,Jules Dassin,"$521,342",Not Rated,142,111,33K
Solyaris (1972),8.0,Awards,5 wins & 4 nominations,Andrei Tarkovsky,"$135,289",PG,329,150,88K
Rocky (1976),8.1,Won 3 Oscars,20 wins & 22 nominations total,John G. Avildsen,"$117,250,382",PG,765,196,545K
The Lego Movie (2014),7.7,Nominated for 1 Oscar,72 wins & 67 nominations total,Christopher Miller,"$468,060,692",PG,589,466,338K
Poltergeist (1982),7.3,Nominated for 3 Oscars,4 wins & 7 nominations total,Tobe Hooper,"$77,142,388",PG,461,266,155K
Le Mans (1971),6.7,Awards,1 nomination,Lee H. Katzin,"$7,573,797 (estimated)",Approved,94,43,10K
Moana (2016),7.6,Nominated for 2 Oscars,20 wins & 90 nominations total,Ron Clements,"$644,136,488",PG,587,402,302K
Big (1988),7.3,Nominated for 2 Oscars,11 wins & 14 nominations total,Penny Marshall,"$151,927,281",PG,260,102,210K
Conan the Barbarian (1982),6.9,Awards,2 wins & 9 nominations,John Milius,"$68,851,475",R,439,199,144K
Rear Window (1954),8.5,Nominated for 4 Oscars,6 wins & 13 nominations total,Alfred Hitchcock,"$37,034,514",PG,942,173,470K
Kôkaku Kidôtai (1995),8.0,Awards,5 wins & 7 nominations,Mamoru Oshii,"$918,738",TV-MA,345,121,137K
Death Note (2017),4.4,Awards,5 wins & 7 nominations,Mamoru Oshii,Cuốn Sổ Tử Thần,TV-MA,345,121,137K
Beetle Juice (1988),7.5,Won 1 Oscar,7 wins & 11 nominations total,Tim Burton,"$74,270,074",PG,422,125,283K
Still Alice (2014),7.5,Won 1 Oscar,34 wins & 35 nominations total,Richard Glatzer,"$44,779,195",PG-13,277,307,131K
Predators (2010),6.4,Awards,2 wins & 4 nominations,Nimród Antal,"$127,233,108",R,736,380,220K
Evil Dead II (1987),7.7,Awards,5 nominations,Sam Raimi,"$5,924,421",R,640,306,156K
Friday the 13th (1980),6.4,Awards,6 nominations,Sean S. Cunningham,"$39,754,601",R,842,200,132K
Saving Private Ryan (1998),8.6,Won 5 Oscars,79 wins & 75 nominations total,Steven Spielberg,"$482,349,603",R,2.7K,277,1.3M
They Live (1988),7.3,Awards,4 nominations,John Carpenter,"$13,008,928",R,477,228,122K
Hercules (1997),7.3,Nominated for 1 Oscar,9 wins & 16 nominations total,Ron Clements,"$252,712,101",G,241,95,218K
Carrie (1976),7.4,Nominated for 2 Oscars,3 wins & 8 nominations total,Brian De Palma,"$33,800,000",R,596,184,178K
Valerian and the City of a Thousand Planets (2017),6.5,Awards,10 nominations,Luc Besson,"$225,973,340",PG-13,1.1K,388,173K
Nikita (1990),7.3,Awards,6 wins & 17 nominations,Luc Besson,"$5,017,971",R,179,92,70K
Fences (2016),7.2,Won 1 Oscar,58 wins & 120 nominations total,Denzel Washington,"$64,414,761",PG-13,415,334,104K
Ford v Ferrari (2019),8.1,Won 2 Oscars,25 wins & 89 nominations total,James Mangold,"$225,508,210",PG-13,1.5K,351,344K
Pretty Woman (1990),7.1,Nominated for 1 Oscar,8 wins & 11 nominations total,Garry Marshall,"Mar 25, 1990",R,387,89,307K
Escape from New York (1981),7.2,Awards,4 nominations,John Carpenter,"$25,274,292",R,382,267,136K
The Babysitter (2017),6.4,Awards,4 nominations,John Carpenter,Cô Giữ Trẻ,R,382,267,136K
Grease (1978),7.2,Nominated for 1 Oscar,4 wins & 10 nominations total,Randal Kleiser,"$396,271,103",PG,472,114,256K
The Babadook (2014),6.8,Awards,56 wins & 64 nominations,Jennifer Kent,"$10,507,563",Not Rated,1K,525,211K
District 9 (2009),7.9,Nominated for 4 Oscars,31 wins & 117 nominations total,Neill Blomkamp,"$210,888,950",R,1.4K,501,659K
American Beauty (1999),8.3,Won 5 Oscars,111 wins & 102 nominations total,Sam Mendes,"$356,296,601",R,2.9K,209,1.1M
The Negotiator (1998),7.3,Awards,2 wins & 6 nominations,F. Gary Gray,"$44,547,681",R,313,70,137K
Iron Man Three (2013),7.1,Nominated for 1 Oscar,20 wins & 63 nominations total,Shane Black,"$1,214,811,252",PG-13,1.3K,651,800K
Thor (2011),7.0,Awards,5 wins & 30 nominations,Kenneth Branagh,"$449,326,618",PG-13,989,575,792K
Ladri di biciclette (1948),8.3,Won 1 Oscar,20 wins & 3 nominations total,Vittorio De Sica,"$436,655",Not Rated,335,138,157K
The Accountant (2016),7.3,Awards,3 wins & 5 nominations,Gavin O'Connor,"$155,160,045",R,608,341,281K
Gone Girl (2014),8.1,Nominated for 1 Oscar,64 wins & 188 nominations total,David Fincher,"$369,330,363",R,1.6K,633,920K
Lady Bird (2017),7.4,Nominated for 5 Oscars,119 wins & 226 nominations total,Greta Gerwig,"$78,966,486",R,852,478,266K
The Foreigner (2017),7.0,Awards,1 nomination,Martin Campbell,"$145,418,070",R,483,173,109K
American History X (1998),8.5,Nominated for 1 Oscar,4 wins & 15 nominations total,Tony Kaye,"$23,875,127",R,1.6K,128,1.1M
Wo hu cang long (2000),7.8,Won 4 Oscars,102 wins & 134 nominations total,Ang Lee,"$213,525,736",PG-13,1.7K,290,262K
How to Train Your Dragon (2010),8.1,Nominated for 2 Oscars,25 wins & 63 nominations total,Dean DeBlois,"$494,879,471",PG,677,194,700K
The Terminator (1984),8.0,Awards,8 wins & 6 nominations,James Cameron,"$78,371,200",R,992,249,825K
Bad Times at the El Royale (2018),7.1,Awards,2 wins & 11 nominations,Drew Goddard,"$31,882,724",R,985,317,140K
Despicable Me (2010),7.6,Awards,3 wins & 41 nominations total,Pierre Coffin,"$543,113,985",PG,394,191,521K
Cowboys & Aliens (2011),6.0,Awards,1 win & 17 nominations,Jon Favreau,"$174,822,325",PG-13,584,449,216K
Casino Royale (2006),8.0,Awards,27 wins & 44 nominations total,Martin Campbell,"$616,502,912",PG-13,2.5K,211,629K
Lara Croft: Tomb Raider (2001),5.8,Awards,4 wins & 21 nominations,Simon West,"$274,703,340",PG-13,871,203,205K
X-Men (2000),7.4,Awards,13 wins & 26 nominations,Bryan Singer,"$296,339,528",PG-13,1.4K,322,592K
X-Men (2000),7.4,Awards,13 wins & 26 nominations,Bryan Singer,"$296,339,528",PG-13,1.4K,322,592K
Dracula Untold (2014),6.3,Awards,3 wins & 5 nominations,Gary Shore,"$217,124,280",PG-13,539,284,188K
Repo Man (1984),6.9,Awards,2 wins & 3 nominations,Alex Cox,"$129,000",R,191,114,36K
Eraser (1996),6.1,Nominated for 1 Oscar,3 wins & 2 nominations total,Chuck Russell,"$242,295,562",R,158,83,108K
It (2017),7.3,Awards,9 wins & 48 nominations,Andy Muschietti,"$701,796,444",R,2K,633,500K
True Lies (1994),7.2,Nominated for 1 Oscar,8 wins & 23 nominations total,James Cameron,"$378,882,411",R,444,105,249K
(500) Days of Summer (2009),7.7,Awards,17 wins & 58 nominations,Marc Webb,"$60,800,444",PG-13,690,354,492K
The Doors (1991),7.2,Awards,3 nominations,Oliver Stone,"$34,416,893",R,269,88,89K
Creepshow (1982),6.9,Awards,2 nominations,George A. Romero,"$21,028,755",R,259,190,46K
Being John Malkovich (1999),7.7,Nominated for 3 Oscars,48 wins & 79 nominations total,Spike Jonze,"$23,106,667",R,915,266,325K
Jui kuen II (1994),7.6,Awards,3 wins & 1 nomination,Chia-Liang Liu,"$11,555,430",R,164,93,45K
Avengers: Infinity War (2018),8.4,Nominated for 1 Oscar,46 wins & 77 nominations total,Anthony Russo,"Apr 29, 2018",PG-13,4.4K,624,945K
Kokuriko-zaka kara (2011),7.4,Awards,6 wins & 11 nominations,Gorô Miyazaki,"$61,487,846",PG,84,142,40K
Jurassic Park (1993),8.1,Won 3 Oscars,44 wins & 27 nominations total,Steven Spielberg,"Jun 13, 1993",PG-13,1.2K,238,918K
The War of the Roses (1989),6.8,Awards,2 wins & 9 nominations total,Danny DeVito,"$160,188,546",R,117,50,51K
The Outsiders (1983),7.1,Awards,1 win & 4 nominations,Francis Ford Coppola,"$25,699,058",PG,391,58,82K
Jack Reacher (2012),7.0,Awards,1 win & 6 nominations,Christopher McQuarrie,"$218,340,595",PG-13,584,419,324K
The Vikings (1958),7.1,Awards,2 wins & 2 nominations,Richard Fleischer,"$20,311",Not Rated,138,61,14K
The 13th Warrior (1999),6.6,Awards,2 wins & 2 nominations,John McTiernan,"$61,698,899",R,614,96,121K
The Nightmare Before Christmas (1993),8.0,Nominated for 1 Oscar,7 wins & 17 nominations total,Henry Selick,"Oct 17, 1993",PG,590,231,318K
The Curious Case of Benjamin Button (2008),7.8,Won 3 Oscars,83 wins & 160 nominations total,David Fincher,"$335,802,786",PG-13,1K,324,620K
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.0,Nominated for 5 Oscars,38 wins & 104 nominations total,Gore Verbinski,"$654,264,015",PG-13,2.2K,190,1.1M
Justice League (2017),6.1,Awards,2 wins & 13 nominations,Zack Snyder,"$657,926,987",PG-13,2.2K,482,429K
Willy Wonka & the Chocolate Factory (1971),7.8,Nominated for 1 Oscar,2 wins & 3 nominations total,Mel Stuart,"$566,357",G,442,92,191K
The Bourne Identity (2002),7.9,Awards,3 wins & 6 nominations,Doug Liman,"$214,034,224",PG-13,961,255,528K
The Dark Knight Rises (2012),8.4,Awards,38 wins & 103 nominations total,Christopher Nolan,"$1,081,142,612",PG-13,3.5K,558,1.6M
Joan of Arc (1999),6.4,Awards,5 wins & 13 nominations,Luc Besson,"$66,976,317",R,409,119,66K
Lawrence of Arabia (1962),8.3,Won 7 Oscars,31 wins & 14 nominations total,David Lean,"Sep 22, 2002",Approved,725,161,282K
Exodus (1960),6.7,Won 1 Oscar,5 wins & 7 nominations total,Otto Preminger,"$4,000,000 (estimated)",Approved,87,31,9.5K
Rio Bravo (1959),8.0,Awards,4 wins & 6 nominations,Howard Hawks,Howard Hawks' Rio Bravo,Passed,253,83,60K
Neko no ongaeshi (2002),7.2,Awards,1 nomination,Hiroyuki Morita,"$54,505,662",G,116,84,53K
Maleficent (2014),7.0,Nominated for 1 Oscar,12 wins & 43 nominations total,Robert Stromberg,"$758,411,779",PG,838,435,361K
Willow (1988),7.3,Nominated for 2 Oscars,1 win & 11 nominations total,Ron Howard,"$57,269,863",PG,282,119,108K
A Clockwork Orange (1971),8.3,Nominated for 4 Oscars,12 wins & 24 nominations total,Stanley Kubrick,"$26,904,636",X,1.6K,198,792K
Finding Nemo (2003),8.1,Won 1 Oscar,48 wins & 63 nominations total,Andrew Stanton,"$940,352,645",G,1K,158,992K
Timeline (2003),5.7,Won 1 Oscar,48 wins & 63 nominations total,Andrew Stanton,"$43,935,763",G,1K,158,992K
The Italian Job (2003),7.0,Awards,7 wins & 9 nominations,F. Gary Gray,"$176,070,171",PG-13,562,173,355K
The Expendables 2 (2012),6.6,Awards,4 wins & 5 nominations,Simon West,"$314,975,955",R,531,407,300K
Triple 9 (2016),6.3,Awards,4 nominations,John Hillcoat,"$23,177,948",R,211,261,70K
Face/Off (1997),7.2,Nominated for 1 Oscar,11 wins & 22 nominations total,John Woo,"$245,676,146",R,655,134,363K
The Prestige (2006),8.5,Nominated for 2 Oscars,6 wins & 45 nominations total,Christopher Nolan,"$109,676,311",PG-13,1.5K,372,1.3M
RoboCop (1987),7.6,Won 1 Oscar,11 wins & 13 nominations total,Paul Verhoeven,"$53,425,389",R,582,294,246K
Mr. & Mrs. Smith (TV Series 1996),7.4,Won 1 Oscar,11 wins & 13 nominations total,Paul Verhoeven,Los Smith,R,582,294,246K
Night at the Museum (2006),6.4,Awards,2 wins & 8 nominations,Shawn Levy,"$574,481,229",PG,494,174,330K
